threshold,top1_accuracy,top1_macro_f1,avg_predicted_labels,zero_label_predictions,single_label_predictions,multi_label_predictions,multi_label_rate,zero_label_rate
0.2,0.625,0.6251858204688393,2.1875,0,19,61,0.7625,0.0
0.25,0.625,0.6251858204688393,1.8875,0,27,53,0.6625,0.0
0.3,0.625,0.6251858204688393,1.625,2,34,44,0.55,0.025
0.35,0.625,0.6251858204688393,1.3125,8,41,31,0.3875,0.1
0.4,0.625,0.6251858204688393,1.075,13,48,19,0.2375,0.1625
0.45,0.625,0.6251858204688393,0.9,22,44,14,0.175,0.275
0.5,0.625,0.6251858204688393,0.6875,29,47,4,0.05,0.3625
