threshold,top1_accuracy,top1_macro_f1,avg_predicted_labels,zero_label_predictions,single_label_predictions,multi_label_predictions,multi_label_rate,zero_label_rate
0.2,0.8,0.7968464130958112,1.9416666666666667,0,34,86,0.7166666666666667,0.0
0.25,0.8,0.7968464130958112,1.675,0,50,70,0.5833333333333334,0.0
0.3,0.8,0.7968464130958112,1.55,0,62,58,0.48333333333333334,0.0
0.35,0.8,0.7968464130958112,1.35,0,81,39,0.325,0.0
0.4,0.8,0.7968464130958112,1.2333333333333334,1,92,27,0.225,0.008333333333333333
0.45,0.8,0.7968464130958112,1.1083333333333334,5,98,17,0.14166666666666666,0.041666666666666664
0.5,0.8,0.7968464130958112,1.0333333333333334,10,97,13,0.10833333333333334,0.08333333333333333
