epoch,train_loss,val_loss,val_top1_accuracy,val_top1_macro_f1
1,0.5947996428518584,0.5350142478942871,0.6,0.5837662337662337
2,0.46298350402803135,0.4613057553768158,0.6833333333333333,0.6717101534433434
3,0.39711135932893465,0.41269906759262087,0.75,0.7455306070867967
4,0.35667507847150165,0.37723743518193564,0.7583333333333333,0.7544946029453072
5,0.32855395114783087,0.35110872189203896,0.7833333333333333,0.7746538485229972
6,0.30222337282065187,0.32767218351364136,0.7666666666666667,0.7611417960570503
7,0.2926749175245112,0.31163113117218016,0.775,0.7705766684813151
8,0.27635192853031737,0.3017189741134644,0.7916666666666666,0.787899482814737
9,0.262362250956622,0.2899174471696218,0.7916666666666666,0.7879574385324324
10,0.2478644188606378,0.2825543721516927,0.8,0.7970062117603102
