epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.5956337290150778,0.2432858983675639,0.7714285714285715,0.9166666666666666
2,0.14866937324404716,0.16189116835594178,0.9571428571428572,0.9333333333333333
3,0.07077490578272513,0.1284408728281657,0.975,0.95
4,0.04665528722107411,0.09617111807068189,0.9928571428571429,0.9666666666666667
5,0.02615900348339762,0.11797656938433647,0.9946428571428572,0.9333333333333333
6,0.03216639530978033,0.23351298042883475,0.9946428571428572,0.925
7,0.018818854786721722,0.12315096495052179,0.9964285714285714,0.975
8,0.02765804348247392,0.1408491812646389,0.9946428571428572,0.95
9,0.019526198230284664,0.13010428448518116,0.9928571428571429,0.95
10,0.019687780528329313,0.09410926563044389,0.9964285714285714,0.9833333333333333
