epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.3448015082966198,1.0830113808314006,0.38484848484848483,0.5666666666666667
2,0.8937302300424287,0.7407061179478963,0.6924242424242424,0.8
3,0.7086468517780304,0.6345968405405681,0.7803030303030303,0.8083333333333333
4,0.6235305912566907,0.5498724023501078,0.7818181818181819,0.8416666666666667
5,0.5877791021809433,0.4887884775797526,0.803030303030303,0.8833333333333333
6,0.48915363947550455,0.467244154214859,0.8469696969696969,0.8583333333333333
7,0.5013713325514938,0.44009464184443153,0.8287878787878787,0.9166666666666666
8,0.45204872651533645,0.448457145690918,0.8545454545454545,0.85
9,0.42559951254815764,0.3860323627789815,0.8469696969696969,0.9
10,0.39205847906343866,0.3643316427866618,0.8803030303030303,0.9083333333333333
