epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.269087985583714,0.9423441926638285,0.44642857142857145,0.7
2,0.8491318123681205,0.6938925584157308,0.7160714285714286,0.8083333333333333
3,0.6620528723512377,0.6739800910154978,0.7892857142857143,0.7833333333333333
4,0.5668441355228424,0.5907651305198669,0.8232142857142857,0.7833333333333333
5,0.5047299265861511,0.4511573632558187,0.8392857142857143,0.9
6,0.44152584969997405,0.5283031205336253,0.8553571428571428,0.8083333333333333
7,0.41905787416866846,0.409532235066096,0.8892857142857142,0.8916666666666667
8,0.41090249504361837,0.3824223021666209,0.8678571428571429,0.9083333333333333
9,0.37932772423539846,0.35791622002919515,0.8946428571428572,0.9
10,0.3352932380778449,0.36788081924120586,0.8946428571428572,0.8833333333333333
