,precision,recall,f1-score,support
formal,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
gothic,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
sporty,0.7105263157894737,0.9,0.7941176470588235,30.0
streetwear,0.7916666666666666,0.6333333333333333,0.7037037037037037,30.0
accuracy,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.8416666666666667
macro avg,0.8493577694235589,0.8416666666666667,0.8402599353917812,120.0
weighted avg,0.8493577694235589,0.8416666666666667,0.8402599353917812,120.0
