model,best_val_accuracy,curated_accuracy,curated_macro_f1,real_world_accuracy,real_world_macro_f1,real_world_formal_recall,real_world_gothic_recall,real_world_sporty_recall,real_world_streetwear_recall,model_size_mb,avg_image_time_seconds,training_time_seconds
mobilenet_v3_large,0.8666666666666667,0.8166666666666667,0.8104566499246363,0.625,0.6241733188664135,0.7,0.65,0.45,0.7,16.24986171722412,0.006439425051212311,475.03437972068787
resnet34,0.8416666666666667,0.7833333333333333,0.7776871923364084,0.5875,0.5897718434016075,0.65,0.5,0.4,0.8,81.33765697479248,0.00563723345597585,401.88787364959717
efficientnet_b0,0.8583333333333333,0.8416666666666667,0.8422467173492325,0.55,0.5541068070979493,0.5,0.5,0.35,0.85,15.596257209777832,0.0024055068691571555,484.2602217197418
