model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
efficientnet_b0,1,1.2113348657434637,0.4818181818181818,1.0139902035395305,0.7
efficientnet_b0,2,0.9105483358556574,0.7287878787878788,0.792184034983317,0.775
efficientnet_b0,3,0.769181422031287,0.7454545454545455,0.6756832917531331,0.8
efficientnet_b0,4,0.6704667329788208,0.796969696969697,0.6162153323491414,0.8
efficientnet_b0,5,0.6093227581544356,0.8121212121212121,0.5626343488693237,0.8333333333333334
efficientnet_b0,6,0.6021662748221195,0.7863636363636364,0.5315149108568827,0.8333333333333334
efficientnet_b0,7,0.5240670330596693,0.8378787878787879,0.4855233629544576,0.8416666666666667
efficientnet_b0,8,0.5032180789745215,0.8303030303030303,0.4728674491246541,0.8416666666666667
efficientnet_b0,9,0.4707231577598687,0.8621212121212121,0.43111526568730674,0.8583333333333333
efficientnet_b0,10,0.4698806806044145,0.8424242424242424,0.42736138502756754,0.85
