model,best_val_accuracy,curated_accuracy,curated_macro_f1,real_world_accuracy,real_world_macro_f1,model_size_mb,avg_batch_time_seconds,avg_image_time_seconds,training_time_seconds,real_world_formal_precision,real_world_formal_recall,real_world_formal_f1,real_world_gothic_precision,real_world_gothic_recall,real_world_gothic_f1,real_world_sporty_precision,real_world_sporty_recall,real_world_sporty_f1,real_world_streetwear_precision,real_world_streetwear_recall,real_world_streetwear_f1
resnet34,0.8416666666666667,0.7833333333333333,0.7776871923364084,0.5875,0.5897718434016075,81.33765697479248,0.1803914705912272,0.00563723345597585,401.88787364959717,0.7222222222222222,0.65,0.6842105263157895,0.6666666666666666,0.5,0.5714285714285714,0.8888888888888888,0.4,0.5517241379310345,0.42105263157894735,0.8,0.5517241379310345
mobilenet_v3_large,0.8666666666666667,0.8166666666666667,0.8104566499246363,0.625,0.6241733188664135,16.24986171722412,0.20606160163879395,0.006439425051212311,475.03437972068787,0.5833333333333334,0.7,0.6363636363636364,0.8125,0.65,0.7222222222222222,0.6428571428571429,0.45,0.5294117647058824,0.5384615384615384,0.7,0.6086956521739131
efficientnet_b0,0.8583333333333333,0.8416666666666667,0.8422467173492325,0.55,0.5541068070979493,15.596257209777832,0.07697621981302898,0.0024055068691571555,484.2602217197418,0.8333333333333334,0.5,0.625,0.9090909090909091,0.5,0.6451612903225806,0.4375,0.35,0.3888888888888889,0.4146341463414634,0.85,0.5573770491803278
