epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.1334771973746163,0.6171724836031596,0.5321428571428571,0.8916666666666667
2,0.5073556159223829,0.3214653472105662,0.8964285714285715,0.9666666666666667
3,0.3452181190252304,0.24618345300356548,0.9232142857142858,0.9666666666666667
4,0.2768411363874163,0.17406877477963764,0.9428571428571428,0.9666666666666667
5,0.2268893620797566,0.1530284141500791,0.95,0.9583333333333334
6,0.1771571093371936,0.1297282412648201,0.9607142857142857,0.975
7,0.15995795886431421,0.10005737642447153,0.9714285714285714,0.9833333333333333
8,0.15181494445673058,0.0880693773428599,0.9660714285714286,0.9916666666666667
9,0.1343536342893328,0.07839917143185933,0.9642857142857143,0.9916666666666667
10,0.11723039054444857,0.06901947210232416,0.9767857142857143,1.0
