epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.0133879336943994,0.5237393279870352,0.6184615384615385,0.8916666666666667
2,0.500274784381573,0.27795559763908384,0.8753846153846154,0.9583333333333334
3,0.3381516379117966,0.2118888775507609,0.9230769230769231,0.9583333333333334
4,0.29929446917313796,0.15541033446788788,0.9123076923076923,0.9833333333333333
5,0.26552454563287586,0.12927889401714007,0.9215384615384615,0.9833333333333333
6,0.22689811335160182,0.11288472910722097,0.9276923076923077,0.9833333333333333
7,0.19273153213354258,0.10486817136406898,0.9569230769230769,0.9833333333333333
8,0.17034368890982407,0.09677140067021052,0.9553846153846154,0.975
9,0.16712524904654577,0.08750349581241608,0.9584615384615385,0.9833333333333333
10,0.13037134383733456,0.07295498127738635,0.9723076923076923,0.9916666666666667
